iter	Logloss
0	0.6535291611
1	0.6182413078
2	0.5868687648
3	0.5588400441
4	0.5334097977
5	0.5106143498
6	0.4900551866
7	0.4711586335
8	0.4538701108
9	0.4389653996
10	0.4251484038
11	0.4132679704
12	0.4015606751
13	0.3911355998
14	0.3817363262
15	0.3731305816
16	0.3656671677
17	0.3592244746
18	0.3532458597
19	0.3479864276
20	0.3430089106
21	0.3382334192
22	0.3337400449
23	0.3301664213
24	0.3263669761
25	0.3227248733
26	0.3199944471
27	0.317025859
28	0.3147083995
29	0.3120463027
30	0.3100935483
31	0.3079603557
32	0.3059547394
33	0.3045186239
34	0.3028466192
35	0.3012462251
36	0.2996530595
37	0.2981633596
38	0.2969026819
39	0.2960683676
40	0.2950563719
41	0.2939434281
42	0.293166731
43	0.2924186666
44	0.2915869323
45	0.2907877721
46	0.2902454449
47	0.2896431342
48	0.288929027
49	0.2881416461
50	0.2875943344
51	0.2870952975
52	0.2864867456
53	0.2859791342
54	0.2855033691
55	0.2849527374
56	0.2846478489
57	0.2843184391
58	0.283893295
59	0.2835456557
60	0.2831349174
61	0.2829408394
62	0.2825622195
63	0.2822933545
64	0.2819841447
65	0.2816746499
66	0.2813907154
67	0.2810645377
68	0.2808751176
69	0.2806108898
70	0.2803859061
71	0.2801311457
72	0.2798294987
73	0.2798050274
74	0.2796115514
75	0.2793920797
76	0.2792029851
77	0.2790451219
78	0.2789111409
79	0.2786515849
80	0.2784361117
81	0.2782963849
82	0.2781545129
83	0.2778753559
84	0.2777579637
85	0.2775884529
86	0.2774453237
87	0.2772533121
88	0.2771162914
89	0.2769581562
90	0.276821343
91	0.276657197
92	0.2765032536
93	0.2763890367
94	0.2762545097
95	0.2761038292
96	0.2758476935
97	0.2757327559
98	0.2756536412
99	0.2755718149
100	0.2755176454
101	0.2754402465
102	0.2753437169
103	0.2752036385
104	0.2750948154
105	0.2748949644
106	0.2747452646
107	0.2746499655
108	0.2745301502
109	0.2743854124
110	0.2742677871
111	0.2741279027
112	0.2740400597
113	0.2739253272
114	0.2737986803
115	0.2736270735
116	0.2735257851
117	0.2734189611
118	0.2733210095
119	0.2732008205
120	0.2731273407
121	0.2729937866
122	0.2729269287
123	0.2728343078
124	0.2727875227
125	0.272721943
126	0.2726285432
127	0.2725383292
128	0.272454267
129	0.2723391204
130	0.2722260629
131	0.2721709327
132	0.2720364285
133	0.2719248125
134	0.2718297975
135	0.2717025254
136	0.2716298569
137	0.2715087401
138	0.271419503
139	0.2713636237
140	0.2712924659
141	0.2712044149
142	0.2710789372
143	0.2710071136
144	0.2709945508
145	0.270899604
146	0.270790437
147	0.2706249829
148	0.2705684449
149	0.2704609301
150	0.2704052941
151	0.270266899
152	0.2701451735
153	0.2700120636
154	0.2699184622
155	0.2698676261
156	0.2698083521
157	0.2697599083
158	0.269675946
159	0.2696317664
160	0.2695835449
161	0.2695009211
162	0.2693941742
163	0.2693288338
164	0.2692873842
165	0.2692152466
166	0.2691554179
167	0.2690535603
168	0.2689526567
169	0.2688975587
170	0.2688347598
171	0.2687816176
172	0.2687570861
173	0.2686752397
174	0.2685951298
175	0.2685062642
176	0.2684307625
177	0.2683577717
178	0.2683004536
179	0.2682358789
180	0.2681671684
181	0.2681197981
182	0.2680430804
183	0.2679666751
184	0.2678980746
185	0.2678475548
186	0.2677809824
187	0.2677192164
188	0.2676107385
189	0.2675235765
190	0.2674563169
191	0.2673762013
192	0.267315792
193	0.267266798
194	0.2671288683
195	0.2670777219
196	0.2669983289
197	0.2669277056
198	0.2668513548
199	0.2667901281
200	0.2667517592
201	0.2667200201
202	0.2666014042
203	0.2665689368
204	0.2665037485
205	0.2664683315
206	0.2664012324
207	0.2662927178
208	0.2662390273
209	0.2661343346
210	0.2660446681
211	0.2659672772
212	0.265944348
213	0.2658769102
214	0.2657504457
215	0.2656827649
216	0.2656056987
217	0.2655120387
218	0.2654474018
219	0.265390721
220	0.2653700611
221	0.2653284564
222	0.2652274276
223	0.2651542924
224	0.2650201819
225	0.2649672924
226	0.2648793667
227	0.2648000599
228	0.2646934586
229	0.264560978
230	0.264521556
231	0.2644718348
232	0.2644114456
233	0.2643319859
234	0.2642143213
235	0.2641719661
236	0.2641322576
237	0.2640731605
238	0.2640330368
239	0.2639640902
240	0.2639374253
241	0.2638597202
242	0.2638221137
243	0.2637383891
244	0.2636797586
245	0.2635890058
246	0.2635374139
247	0.263466006
248	0.2633538345
249	0.2633220267
250	0.2632170996
251	0.2631583902
252	0.2630701651
253	0.2630216232
254	0.2629185545
255	0.262904596
256	0.2628329671
257	0.262796546
258	0.262726991
259	0.2626314104
260	0.2625827077
261	0.2624915792
262	0.262404048
263	0.262318891
264	0.2622736909
265	0.2621771111
266	0.2620524305
267	0.2620210238
268	0.2619725755
269	0.2619195397
270	0.2618545518
271	0.2618020097
272	0.2617215151
273	0.2616561272
274	0.2615846556
275	0.2615283333
276	0.2614885531
277	0.2614125451
278	0.2613809114
279	0.2613249344
280	0.2612816525
