iter	Passed	Remaining
0	16	16099
1	42	21093
2	68	22804
3	102	25446
4	117	23396
5	140	23319
6	169	24011
7	206	25561
8	232	25626
9	245	24286
10	252	22686
11	263	21675
12	273	20781
13	284	20040
14	295	19397
15	304	18742
16	316	18323
17	329	17992
18	345	17841
19	355	17404
20	368	17156
21	378	16847
22	389	16543
23	398	16202
24	409	15971
25	419	15700
26	430	15501
27	441	15328
28	450	15075
29	461	14909
30	471	14752
31	480	14530
32	492	14434
33	501	14248
34	514	14183
35	526	14089
36	537	13988
37	546	13831
38	557	13736
39	566	13605
40	577	13513
41	590	13479
42	603	13420
43	615	13379
44	629	13356
45	641	13294
46	650	13194
47	662	13140
48	673	13069
49	683	12985
50	693	12908
51	704	12846
52	713	12752
53	723	12682
54	735	12639
55	746	12583
56	756	12523
57	768	12483
58	777	12408
59	788	12352
60	801	12345
61	811	12277
62	822	12229
63	833	12190
64	843	12127
65	853	12084
66	865	12053
67	874	11991
68	885	11948
69	896	11906
70	905	11851
71	917	11821
72	926	11764
73	935	11701
74	946	11670
75	955	11615
76	969	11616
77	984	11633
78	999	11658
79	1014	11665
80	1032	11713
81	1041	11660
82	1052	11633
83	1066	11627
84	1080	11633
85	1091	11599
86	1101	11561
87	1113	11538
88	1122	11491
89	1133	11464
90	1145	11442
91	1155	11399
92	1165	11366
93	1176	11342
94	1186	11303
95	1197	11276
96	1209	11259
97	1221	11242
98	1232	11217
99	1243	11195
100	1253	11153
101	1263	11123
102	1274	11098
103	1283	11059
104	1294	11037
105	1306	11015
106	1315	10979
107	1327	10960
108	1336	10921
109	1347	10901
110	1361	10902
111	1372	10883
112	1381	10846
113	1392	10821
114	1401	10788
115	1412	10766
116	1424	10748
117	1433	10716
118	1444	10694
119	1455	10676
120	1464	10642
121	1477	10631
122	1489	10621
123	1499	10590
124	1512	10584
125	1523	10565
126	1532	10536
127	1544	10522
128	1556	10506
129	1565	10475
130	1576	10460
131	1588	10443
132	1597	10412
133	1608	10393
134	1619	10378
135	1630	10356
136	1641	10342
137	1655	10343
138	1666	10324
139	1675	10293
140	1686	10276
141	1696	10251
142	1707	10232
143	1719	10224
144	1729	10198
145	1741	10184
146	1752	10169
147	1761	10143
148	1773	10128
149	1785	10119
150	1795	10094
151	1808	10091
152	1820	10079
153	1833	10070
154	1843	10049
155	1854	10032
156	1866	10024
157	1875	9995
158	1887	9985
159	1899	9974
160	1909	9949
161	1920	9934
162	1933	9926
163	1942	9899
164	1955	9894
165	1966	9879
166	1999	9973
167	2010	9954
168	2019	9929
169	2029	9910
170	2040	9891
171	2049	9864
172	2060	9849
173	2070	9827
174	2080	9809
175	2096	9815
176	2108	9805
177	2118	9781
178	2128	9763
179	2139	9747
180	2149	9724
181	2160	9708
182	2169	9683
183	2179	9666
184	2191	9652
185	2200	9629
186	2211	9613
187	2222	9600
188	2233	9583
189	2244	9568
190	2255	9554
191	2265	9532
192	2275	9516
193	2288	9507
194	2298	9490
195	2309	9473
196	2320	9459
197	2330	9438
198	2341	9422
199	2351	9404
200	2361	9388
201	2373	9376
202	2383	9359
203	2393	9338
204	2404	9324
205	2413	9301
206	2425	9290
207	2436	9278
208	2445	9255
209	2456	9239
210	2467	9227
211	2476	9206
212	2488	9193
213	2502	9190
214	2514	9181
215	2526	9168
216	2538	9161
217	2552	9155
218	2563	9140
219	2574	9127
220	2586	9117
221	2599	9108
222	2609	9091
223	2621	9082
224	2635	9078
225	2649	9074
226	2661	9062
227	2673	9052
228	2685	9041
229	2700	9040
